"","Calu3_mock3","Calu3_mock2","Calu3_mock1","Calu3_SARSCoV2_3","Calu3_SARSCoV2_2","Calu3_SARSCoV2_1","SRR1942929","SRR1942934","SRR1942956","SRR1942957","SRR1942960","SRR1942961","SRR1942989","SRR1942990","cluster","gene_type"
"RET",-1.00575445259693,-0.132118452741307,0.258356943714277,1.06265668393691,1.92387819773722,1.63022659100891,0.0268654514042413,-1.00575445259693,-0.184073460188237,-1.00575445259693,-1.00575445259693,-1.00575445259693,0.565859473172829,-0.122879165060191,5,"Human"
"DDX21",-1.28211623075374,-2.03887873555389,-1.5509278629206,-0.00345150024167195,-0.286609915390369,-0.615950051580734,0.691755467202466,0.916836890387566,0.625899589324593,0.436244879155699,0.732428373236429,0.698622937336182,0.867980508583235,0.808165651214851,3,"Human"
"BMS1",-0.680018289928976,-0.913016840150978,-1.38896700762441,-0.945856137086246,-1.2195540316314,-1.36181755237787,0.614219954102134,0.911351188053709,0.936106776611652,0.62174807112787,0.62862785754192,0.725385502620026,1.03175130114882,1.04003920759372,1,"Human"
"STK32C",1.00170415972877,2.09275757978042,1.36294826912183,-0.359092999487771,-1.80254032140089,-0.465912709390926,0.422583827194362,-0.0073663747687247,-0.430854378809263,0.0855508860962895,-0.0613853443427022,0.0480298509058715,-1.00319792006008,-0.883224524567185,9,"Human"
"FUNDC2",1.52553111993601,2.22693920187689,1.5399209140256,-0.0481113619107997,-0.685099406686163,-0.425697335866377,-0.648930875130571,-0.234126690071453,-0.277766610672064,-1.04932919653111,-0.576390470867609,-0.702275820641175,-0.352832661131825,-0.291830806329383,4,"Human"
"PIP4P1",-0.507728445348257,0.055422326544935,-0.700451849269915,-0.855596124625605,-1.55977186502841,-0.794768835809926,0.102255629408446,-0.0235801805708598,0.570503811818483,-0.141815293672633,0.175108875072227,-0.309018973956845,1.91941047692831,2.07003044851007,2,"Human"
"METTL17",-0.241649395483893,0.029714197963965,-0.671174805283341,-1.2998675460804,-1.8654047431986,-1.64514482247664,0.476999287309712,0.638412588290844,0.437663045202946,0.711429066986417,0.621847318193866,0.53212264887343,1.24659945649053,1.02845370321116,3,"Human"
"NSMF",0.710289725910298,2.34498107311283,1.90025111362467,-0.421184740553708,-0.308599440567194,-0.28377212059533,0.0522827389858157,-0.7536445384664,-1.00602531065,-0.994174212362664,-0.263861425234337,-0.104581327341275,-0.452408324621458,-0.419553211241213,4,"Human"
"ZNF219",1.19277507395839,1.98903680717531,1.5119074638842,-0.272727110826092,0.243172078094789,0.896534143075208,-0.350144382307511,-1.28004490950163,-0.629991933022053,-0.795301888726548,-0.566157129099842,-0.552809117389008,-0.794079329948975,-0.592169765366255,10,"Human"
"CASP7",-0.547881012159294,-1.04143241883527,-0.505337086660438,1.4236298655785,1.39287696198608,1.27444313380801,-1.12326169252502,-0.896862183688843,1.00723200960682,0.93365898159162,-0.791019753833486,-1.09074262530974,-0.00221065246543678,-0.0330935270934913,7,"Human"
"BTNL9",-0.0153406972511391,1.92867493176503,1.80529977419072,0.729896767358152,-1.16693283316222,-0.12192720858291,0.313421209527476,-0.0948120874208112,-1.12561611012499,-0.0366774801308963,-0.257771462489174,0.161217785982729,-1.50553521531059,-0.61389737435137,9,"Human"
"CCDC186",-0.867759744654962,-1.73587528738803,-1.35185594559421,-0.397550955601448,-0.0929918444123982,-0.408630045746859,-0.216349827838199,0.00358730679709216,1.5240136326114,1.45557115350622,-0.130603307507186,-0.0437077652148562,1.18931224523371,1.07284038580972,2,"Human"
"VWA2",0.960348746221919,0.963358761612595,1.21168358902805,0.531622934516297,0.438537005867713,0.849566106714878,0.0574746111818294,0.0610190797223408,-1.16698764315804,-1.52008434271718,0.370777041485512,0.218780666918852,-1.1787477282778,-1.79734882911696,8,"Human"
"METTL3",-0.159852350543584,-0.047382739851625,-0.326748419304233,-1.23523432668063,-1.89400419817539,-1.71973750117417,0.9795753173582,0.96702941408033,0.726948437637806,0.506071972678335,1.10580929887144,0.93279776743127,0.149872055115396,0.0148552725568337,6,"Human"
"TRUB1",-0.840041263591043,-2.34979281555442,-1.47257589313281,0.0175771758032787,0.113667959227683,-0.531586143812539,0.568645771002037,0.798023457747909,0.226493083336852,-0.0132132536094592,0.652343151828014,0.578078504666213,1.14205695926796,1.11032330682032,2,"Human"
"CYP2C19",-0.774538007951183,-2.01996045509493,-0.779270344726096,-1.3052141969995,-0.386127649329902,-0.813386675049132,0.644898345451122,0.846781952475072,0.274843354995041,0.605454165702721,0.813141893901845,0.639874904870683,1.20887255335493,1.04463015839933,1,"Human"
"C10orf82",-2.57834873929047,-1.31938722847221,-0.439815997760863,-0.0688543942451177,0.415683122168644,0.219660655384605,0.410452992510654,-0.293262537583631,0.753216614247255,0.947482351380032,-0.114650996722251,0.139957157983646,0.424715674562779,1.50315132583692,2,"Human"
"FRAT1",1.09473678655212,1.49910706529796,1.7123347304668,0.140500682059844,-0.201248376982109,0.898232548195348,-0.479543194697876,-0.283143485749157,-0.425286257853239,-0.0142049355772167,-0.233544144490897,-0.589925440721426,-1.54661270815024,-1.57140326834992,9,"Human"
"UBTD1",0.777055459988688,1.77964788198738,1.38897507373305,0.653269414510767,0.416942311936147,0.974553771082107,-0.668373734358439,-1.4514083725029,-0.336126367453734,-0.0807377100533744,-0.936656933365838,-0.809961127369912,-1.0609855030767,-0.646194165057234,5,"Human"
"ANKRD2",0.0413200802981592,1.82660597666407,1.82083035202764,0.893528967156481,0.104964819761865,0.0788568819201576,-1.05307650440616,-1.39391671927782,-0.0766552494105983,-0.52441988591471,-1.14110267539367,-0.461805615194543,-0.638889827203943,0.523759398973054,1,"Human"
"E2F7",-0.925350901009427,-1.43172961215997,-0.91116603671258,-0.456107943063435,-0.592752302275308,-0.776360056999057,-0.0353298715461871,0.116734662115218,0.543932195321051,0.528170461832001,0.0404908539485204,0.0257086720272658,1.99396803438528,1.87979184413662,2,"Human"
