Series16_A549ACE2_Mock_1,Series16_A549ACE2_Mock_2,Series16_A549ACE2_Mock_3,Series16_A549ACE2_SARSCoV2_1,Series16_A549ACE2_SARSCoV2_2,Series16_A549ACE2_SARSCoV2_3,Series16_A549ACE2_SARSCoV2_Rux_1,Series16_A549ACE2_SARSCoV2_Rux_2,Series16_A549ACE2_SARSCoV2_Rux_3
L1FLnI_6q16.1oa,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.1p,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.1q,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.1r,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.1s,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.1t,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.1u,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.1v,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.1w,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.1z,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.2a,1,0,2,0,1,0,1,0,0
L1FLnI_6q16.2b,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.2c,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.2d,2,16,6,6,3,4,6,7,6
L1FLnI_6q16.2e,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.2f,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.2g,0,2,1,0,0,1,2,0,0
L1FLnI_6q16.2h,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.2i,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.2j,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3a,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3aa,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3b,1,3,3,1,0,8,2,2,1
L1FLnI_6q16.3ba,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3c,6,23,24,26,31,37,41,46,35
L1FLnI_6q16.3ca,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3da,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3f,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3fa,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3g,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3ga,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3h,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3ha,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3i,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3j,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3ja,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3k,0,0,0,0,1,0,0,0,0
L1FLnI_6q16.3ka,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3l,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3la,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3ma,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3na,1,3,0,0,0,0,1,0,0
L1FLnI_6q16.3o,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3q,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3r,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3s,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3t,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3u,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3v,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3w,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3x,0,0,0,0,0,0,0,0,0
L1FLnI_6q16.3y,0,0,0,0,0,0,0,0,0
L1FLnI_6q21a,0,1,0,0,0,0,0,0,0
L1FLnI_6q21aa,0,0,0,0,0,0,0,0,0
L1FLnI_6q21b,0,0,1,0,0,1,0,0,0
L1FLnI_6q21c,0,0,0,0,0,0,0,0,0
L1FLnI_6q21d,0,3,0,1,0,0,0,0,0
L1FLnI_6q21da,0,0,0,0,0,0,0,0,0
L1FLnI_6q21e,0,0,0,0,0,0,0,0,0
L1FLnI_6q21f,2,16,5,3,5,1,7,4,2
L1FLnI_6q21fa,0,0,0,0,0,0,0,0,0
L1FLnI_6q21g,0,1,0,0,0,0,0,0,1
L1FLnI_6q21h,0,0,0,0,0,0,0,1,0
L1FLnI_6q21i,1,3,5,5,7,4,4,3,1
L1FLnI_6q21j,0,0,0,0,0,0,0,0,0
L1FLnI_6q21k,0,0,0,0,0,0,0,0,0
L1FLnI_6q21l,0,0,0,1,0,0,2,0,0
L1FLnI_6q21m,0,9,6,1,0,0,0,0,1
L1FLnI_6q21n,0,0,0,0,0,0,0,0,0
L1FLnI_6q21p,0,0,0,0,0,0,0,0,0
L1FLnI_6q21q,0,0,0,0,0,0,0,0,0
L1FLnI_6q21s,0,2,2,1,0,0,0,1,1
L1FLnI_6q21t,0,0,0,0,0,0,0,0,0
L1FLnI_6q21u,0,0,0,0,0,0,0,0,0
L1FLnI_6q21v,0,0,0,0,0,0,0,0,0
L1FLnI_6q21w,0,0,0,0,0,0,0,0,0
L1FLnI_6q21x,0,0,0,0,0,0,0,0,0
L1FLnI_6q21z,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1a,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1aa,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1b,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1c,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1d,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1da,3,11,3,27,32,39,60,56,48
L1FLnI_6q22.1e,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1ea,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1f,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1fa,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1ga,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1h,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1ha,0,0,0,0,1,0,1,0,0
L1FLnI_6q22.1ia,1,11,7,15,28,13,12,10,11
L1FLnI_6q22.1j,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1ja,0,5,2,1,3,7,2,6,5
L1FLnI_6q22.1ka,0,10,3,16,19,22,32,31,28
L1FLnI_6q22.1l,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1la,0,0,0,1,0,0,2,2,2
L1FLnI_6q22.1m,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1ma,0,0,1,0,0,0,0,0,0
L1FLnI_6q22.1n,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1na,0,0,0,1,0,0,0,0,1
L1FLnI_6q22.1o,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1oa,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1p,0,0,0,1,0,0,0,0,0
L1FLnI_6q22.1pa,0,1,0,0,0,0,0,0,0
L1FLnI_6q22.1q,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1t,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.1u,29,144,141,87,89,109,196,162,129
L1FLnI_6q22.1v,1,8,6,9,4,5,2,2,2
L1FLnI_6q22.1z,0,0,0,0,0,1,0,0,0
L1FLnI_6q22.31a,0,0,0,1,0,0,0,0,1
L1FLnI_6q22.31aa,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31b,0,0,0,0,0,0,0,0,1
L1FLnI_6q22.31ba,0,0,0,0,1,0,0,0,0
L1FLnI_6q22.31c,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31d,0,1,3,1,0,0,3,0,0
L1FLnI_6q22.31e,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31ea,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31f,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31g,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31h,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31ha,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31i,0,0,0,0,1,0,1,0,0
L1FLnI_6q22.31ia,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31j,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31k,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31ka,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31l,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31m,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31n,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31na,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31o,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31oa,0,0,0,2,0,0,0,0,0
L1FLnI_6q22.31p,0,1,0,0,0,1,0,1,0
L1FLnI_6q22.31pa,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31q,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31qa,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31r,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31s,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31sa,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31t,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31ta,4,14,16,0,0,1,4,3,2
L1FLnI_6q22.31u,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31ua,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31v,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31w,0,0,0,0,0,1,0,0,0
L1FLnI_6q22.31x,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.31z,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.32a,0,1,4,0,0,0,3,2,0
L1FLnI_6q22.32c,0,1,0,2,0,0,0,0,0
L1FLnI_6q22.32e,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.32f,0,0,0,1,0,0,0,0,0
L1FLnI_6q22.32g,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.32h,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.32i,0,0,3,0,1,1,1,0,0
L1FLnI_6q22.33a,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.33b,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.33c,0,0,0,0,1,1,0,0,0
L1FLnI_6q22.33d,0,4,3,13,8,18,25,14,10
L1FLnI_6q22.33g,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.33h,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.33i,0,1,0,2,4,5,13,8,7
L1FLnI_6q22.33k,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.33m,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.33n,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.33o,0,0,0,0,0,1,0,0,0
L1FLnI_6q22.33p,0,0,1,0,0,0,0,0,0
L1FLnI_6q22.33q,0,1,0,0,0,0,0,0,0
L1FLnI_6q22.33r,0,0,0,0,0,0,0,0,0
L1FLnI_6q22.33s,0,0,0,0,0,0,0,0,0
L1FLnI_6q23.1a,0,0,0,0,0,0,0,0,0
L1FLnI_6q23.1b,0,0,0,0,0,0,0,0,0
L1FLnI_6q23.1c,0,0,0,0,0,0,1,0,1
L1FLnI_6q23.1d,0,0,0,0,1,0,0,0,0
L1FLnI_6q23.2a,0,0,0,0,0,0,0,0,0
L1FLnI_6q23.2b,0,0,1,0,0,0,0,0,0
L1FLnI_6q23.2d,0,0,0,0,0,0,0,0,0
L1FLnI_6q23.2f,0,0,0,0,0,0,0,0,1
L1FLnI_6q23.2h,0,2,2,0,0,0,2,0,0
L1FLnI_6q23.2i,1,2,0,0,0,0,1,2,0
L1FLnI_6q23.2j,0,0,0,0,0,0,0,0,0
L1FLnI_6q23.2k,0,0,0,0,0,0,0,0,0
L1FLnI_6q23.2l,0,0,0,0,0,0,0,0,0
L1FLnI_6q23.2m,0,0,0,0,0,0,0,0,0
L1FLnI_6q23.2n,0,0,0,0,0,0,0,0,0
L1FLnI_6q23.2o,1,3,3,0,2,1,1,1,0
L1FLnI_6q23.2p,2,0,2,0,0,0,0,1,1
L1FLnI_6q23.2r,0,1,0,0,0,0,0,1,0
L1FLnI_6q23.2s,0,0,0,0,1,0,0,0,0
L1FLnI_6q23.3a,0,0,0,0,1,0,1,0,0
L1FLnI_6q23.3b,0,0,0,0,0,0,0,0,0
L1FLnI_6q23.3c,0,0,0,0,0,0,0,0,0
L1FLnI_6q23.3e,0,0,0,0,0,0,0,0,0
L1FLnI_6q23.3f,0,0,0,1,2,2,1,2,0
L1FLnI_6q23.3h,0,0,0,1,0,0,0,0,0
L1FLnI_6q23.3i,0,0,0,0,0,0,0,0,0
L1FLnI_6q23.3k,0,0,0,0,0,0,0,0,0
L1FLnI_6q23.3l,0,0,0,1,1,2,2,1,2
L1FLnI_6q23.3n,0,0,0,1,0,0,0,0,1
L1FLnI_6q23.3o,0,0,0,1,0,0,1,0,0
L1FLnI_6q24.1a,0,0,1,0,0,0,0,0,1
L1FLnI_6q24.1b,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.1c,0,0,0,0,2,0,0,0,0
L1FLnI_6q24.1d,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.1e,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.1f,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.1g,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.1j,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.1k,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.1l,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.1o,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.1p,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.1q,0,0,0,1,0,0,0,0,0
L1FLnI_6q24.1r,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.2a,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.2b,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.2c,0,0,0,0,0,1,0,0,2
L1FLnI_6q24.2f,0,0,0,1,0,0,0,0,2
L1FLnI_6q24.2g,32,124,118,156,142,188,228,241,186
L1FLnI_6q24.2h,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.2j,1,7,1,0,1,1,6,2,1
L1FLnI_6q24.2l,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.2m,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.3a,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.3b,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.3c,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.3d,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.3e,0,0,0,0,0,0,0,0,0
L1FLnI_6q24.3f,0,0,0,0,0,0,1,0,0
L1FLnI_6q24.3h,0,0,1,1,3,4,2,1,0
L1FLnI_6q25.1a,0,0,0,0,0,0,0,0,0
L1FLnI_6q25.1b,0,0,0,0,0,0,0,0,0
L1FLnI_6q25.1c,0,0,0,0,0,2,2,0,0
L1FLnI_6q25.1d,0,0,0,0,0,0,0,0,0
L1FLnI_6q25.1e,0,0,0,0,0,0,0,0,0
L1FLnI_6q25.1f,0,0,0,0,0,0,1,1,0
L1FLnI_6q25.1h,0,0,1,6,7,9,11,22,10
L1FLnI_6q25.2a,0,0,0,0,0,0,0,0,0
L1FLnI_6q25.2b,0,0,1,4,4,1,1,2,1
L1FLnI_6q25.2c,0,0,0,0,0,0,0,0,0
L1FLnI_6q25.2e,0,0,0,0,0,0,0,0,0
L1FLnI_6q25.2f,0,0,0,0,0,0,0,0,0
L1FLnI_6q25.3b,0,0,0,0,0,0,0,0,0
L1FLnI_6q25.3c,0,0,0,0,0,0,0,0,0
L1FLnI_6q25.3d,0,0,0,1,0,0,0,0,0
L1FLnI_6q25.3e,2,13,15,6,9,7,21,18,15
L1FLnI_6q25.3f,0,0,0,0,0,0,0,0,0
L1FLnI_6q25.3i,2,7,2,6,6,3,18,7,8
L1FLnI_6q25.3j,4,6,10,4,3,4,8,2,11
L1FLnI_6q25.3m,0,0,0,0,0,0,2,0,0
L1FLnI_6q25.3o,2,15,8,9,11,5,15,6,6
L1FLnI_6q25.3p,0,0,0,0,0,0,0,0,0
L1FLnI_6q26a,0,0,0,0,0,0,0,0,0
L1FLnI_6q26d,0,0,0,1,1,1,1,0,1
L1FLnI_6q26e,0,0,1,0,0,0,0,0,0
L1FLnI_6q26g,0,0,0,0,0,0,0,0,0
L1FLnI_6q27a,0,0,0,0,0,0,0,0,0
L1FLnI_6q27b,0,0,0,0,0,0,0,0,0
L1FLnI_6q27c,0,1,0,0,0,0,0,0,0
L1FLnI_6q27f,0,0,0,0,0,0,0,0,0
L1FLnI_6q27h,0,0,0,0,0,0,0,0,0
L1FLnI_6q27j,0,0,0,0,1,0,0,0,1
L1FLnI_6q27k,0,0,1,0,0,1,2,0,2
L1FLnI_6q27p,0,0,0,0,0,0,1,0,1
L1FLnI_6q27q,0,0,0,0,0,0,0,0,0
L1FLnI_6q27r,0,0,0,2,4,0,1,1,0
L1FLnI_6q27s,0,1,0,1,0,1,0,2,0
L1FLnI_6q27u,0,8,6,5,3,3,6,3,3
L1FLnI_6q27w,0,0,0,0,0,0,0,0,0
L1FLnI_7p11.2a,0,0,0,0,0,0,0,0,0
L1FLnI_7p11.2b,0,0,0,0,0,0,0,0,0
L1FLnI_7p11.2c,0,0,0,0,0,0,0,0,0
L1FLnI_7p11.2d,0,0,0,0,0,0,0,0,0
L1FLnI_7p11.2e,0,0,0,0,0,0,0,0,0
L1FLnI_7p11.2f,0,1,0,0,0,0,0,0,0
L1FLnI_7p11.2g,0,3,3,1,0,0,0,0,0
L1FLnI_7p11.2h,0,0,0,0,0,0,0,0,0
L1FLnI_7p11.2i,0,0,0,0,0,0,0,0,0
L1FLnI_7p11.2j,0,0,0,0,0,0,0,0,0
L1FLnI_7p11.2k,0,0,0,0,0,0,0,0,0
L1FLnI_7p11.2l,0,0,0,0,0,0,0,0,0
L1FLnI_7p11.2m,0,0,0,0,0,0,0,0,0
L1FLnI_7p11.2n,0,0,0,0,0,0,0,0,0
L1FLnI_7p11.2o,0,0,0,0,0,0,0,0,0
L1FLnI_7p11.2p,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.1a,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.1b,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.1c,1,2,4,3,1,1,2,2,3
L1FLnI_7p12.1d,0,0,0,0,0,0,1,0,1
L1FLnI_7p12.1e,1,2,2,0,1,0,1,3,1
L1FLnI_7p12.1g,2,0,2,0,0,0,0,0,0
L1FLnI_7p12.1j,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.1k,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.1l,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.1m,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.1n,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.1q,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.1r,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.1s,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.1w,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.2c,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.2e,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.3a,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.3b,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.3c,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.3d,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.3f,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.3g,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.3i,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.3j,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.3k,0,1,0,0,0,1,0,1,0
L1FLnI_7p12.3m,0,0,0,0,0,0,0,0,0
L1FLnI_7p12.3n,0,0,0,0,0,0,0,0,0
L1FLnI_7p13a,0,1,0,0,0,0,1,1,0
L1FLnI_7p13b,0,0,0,0,0,0,0,0,0
L1FLnI_7p13c,0,0,1,0,0,0,0,0,0
L1FLnI_7p13d,0,0,0,0,0,0,0,0,0
L1FLnI_7p13e,0,0,0,0,0,0,0,0,0
L1FLnI_7p13f,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.1b,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.1c,0,1,0,0,0,0,0,0,0
L1FLnI_7p14.1d,1,0,2,0,0,0,0,0,1
L1FLnI_7p14.1e,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.1i,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.1j,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.1k,0,1,0,0,2,0,2,0,0
L1FLnI_7p14.1l,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.1m,0,1,0,0,0,0,0,0,1
L1FLnI_7p14.1n,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.1o,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.1p,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.1q,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.1t,0,0,0,0,1,0,0,0,0
L1FLnI_7p14.1v,85,460,365,100,138,134,161,175,132
L1FLnI_7p14.1w,0,5,4,2,3,1,3,2,5
L1FLnI_7p14.1x,0,1,1,2,0,0,0,2,0
L1FLnI_7p14.2b,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.2c,0,0,9,3,4,1,1,4,2
L1FLnI_7p14.2d,0,0,0,0,0,0,1,0,1
L1FLnI_7p14.2e,8,16,7,1,1,3,6,0,4
L1FLnI_7p14.2f,0,0,0,0,0,0,0,1,0
L1FLnI_7p14.2g,0,0,0,0,0,0,1,0,0
L1FLnI_7p14.2h,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.3a,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.3aa,0,0,2,0,0,0,0,1,1
L1FLnI_7p14.3ba,0,1,1,1,2,1,1,1,0
L1FLnI_7p14.3c,0,3,7,0,1,0,1,0,3
L1FLnI_7p14.3ca,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.3d,1,4,4,2,2,4,1,1,0
L1FLnI_7p14.3da,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.3e,0,2,1,1,2,0,1,1,0
L1FLnI_7p14.3ea,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.3f,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.3h,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.3i,0,0,1,0,0,1,2,2,0
L1FLnI_7p14.3j,0,1,0,0,3,3,5,8,3
L1FLnI_7p14.3k,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.3l,1,1,1,0,1,0,1,0,1
L1FLnI_7p14.3n,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.3o,3,3,1,0,0,1,0,4,1
L1FLnI_7p14.3p,0,1,0,0,0,1,0,2,0
L1FLnI_7p14.3q,0,1,3,0,0,0,0,0,0
L1FLnI_7p14.3r,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.3s,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.3t,0,0,0,0,0,0,0,0,0
L1FLnI_7p14.3u,0,0,0,1,0,0,0,1,0
L1FLnI_7p14.3v,0,1,2,3,1,3,4,2,4
L1FLnI_7p14.3w,0,1,1,0,0,0,1,0,0
L1FLnI_7p14.3y,0,0,4,0,0,0,0,0,0
L1FLnI_7p14.3z,0,1,2,1,2,1,4,5,0
L1FLnI_7p15.1a,0,2,0,2,1,3,9,2,2
L1FLnI_7p15.1b,0,0,0,0,0,0,0,0,0
L1FLnI_7p15.2a,0,0,0,0,0,0,0,0,0
L1FLnI_7p15.2b,0,0,0,0,0,0,0,0,0
L1FLnI_7p15.2c,0,0,1,0,1,2,0,0,1
L1FLnI_7p15.2d,0,0,0,0,0,0,0,0,0
L1FLnI_7p15.2e,0,1,2,2,0,1,1,1,0
L1FLnI_7p15.2f,0,0,0,0,0,0,0,0,0
L1FLnI_7p15.2g,0,0,0,3,0,0,1,0,0
L1FLnI_7p15.3a,0,0,0,0,0,0,0,0,0
L1FLnI_7p15.3b,0,0,0,0,0,0,0,0,0
L1FLnI_7p15.3c,0,0,0,0,0,0,0,0,0
L1FLnI_7p15.3d,0,0,0,0,0,0,0,0,0
L1FLnI_7p15.3e,4,6,6,37,29,22,5,2,4
L1FLnI_7p15.3f,1,2,3,0,1,1,3,1,6
L1FLnI_7p15.3g,2,10,9,5,4,10,12,1,5
L1FLnI_7p15.3i,0,1,0,0,0,0,0,0,0
L1FLnI_7p15.3j,0,1,0,0,0,0,0,0,0
L1FLnI_7p15.3k,0,0,0,0,0,0,0,0,0
L1FLnI_7p15.3m,0,0,0,0,0,0,0,0,0
L1FLnI_7p15.3n,0,0,0,0,0,1,4,2,5
L1FLnI_7p15.3p,0,0,0,2,0,3,4,0,1
L1FLnI_7p21.1aa,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.1c,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.1d,0,0,0,0,0,2,0,0,0
L1FLnI_7p21.1f,0,0,0,1,0,1,2,0,0
L1FLnI_7p21.1g,2,14,17,6,2,1,8,5,8
L1FLnI_7p21.1h,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.1i,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.1j,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.1k,0,0,1,0,1,0,2,2,0
L1FLnI_7p21.1l,0,0,0,1,0,0,0,0,0
L1FLnI_7p21.1m,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.1o,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.1p,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.1q,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.1t,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.1u,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.1v,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.1w,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.1x,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.1z,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.2a,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.2c,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.2d,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.2e,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.2f,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.2g,0,0,0,0,0,1,0,0,0
L1FLnI_7p21.2i,0,1,0,0,0,0,0,0,0
L1FLnI_7p21.2j,0,0,2,0,0,1,0,0,1
L1FLnI_7p21.2m,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.2n,0,1,0,0,1,0,0,0,0
L1FLnI_7p21.2o,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.2p,0,1,1,1,0,0,0,1,2
L1FLnI_7p21.2q,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.3a,0,0,0,0,0,0,1,0,0
L1FLnI_7p21.3aa,0,0,0,0,1,0,0,0,0
L1FLnI_7p21.3b,0,0,0,0,0,0,1,0,0
L1FLnI_7p21.3ba,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.3c,0,0,0,0,0,0,2,2,2
L1FLnI_7p21.3d,0,0,0,1,0,0,0,0,0
L1FLnI_7p21.3da,0,0,0,0,0,0,0,0,0
L1FLnI_7p21.3e,0,1,1,1,1,0,0,0,1
