Series16_A549ACE2_Mock_1,Series16_A549ACE2_Mock_2,Series16_A549ACE2_Mock_3,Series16_A549ACE2_SARSCoV2_1,Series16_A549ACE2_SARSCoV2_2,Series16_A549ACE2_SARSCoV2_3,Series16_A549ACE2_SARSCoV2_Rux_1,Series16_A549ACE2_SARSCoV2_Rux_2,Series16_A549ACE2_SARSCoV2_Rux_3
HARLEQUIN_2q11.2a,0,0,0,0,0,0,0,0,0
HARLEQUIN_2q12.2,0,0,0,0,0,0,0,0,0
HARLEQUIN_2q12.3,0,1,2,1,0,2,7,1,4
HARLEQUIN_2q14.1,0,0,0,0,0,0,0,0,0
HARLEQUIN_2q21.2,0,0,0,0,0,0,0,0,0
HARLEQUIN_2q32.1,0,5,6,2,5,0,7,0,3
HARLEQUIN_2q33.3,0,0,0,0,0,0,0,0,0
HARLEQUIN_3p11.2,0,1,0,1,0,0,2,3,4
HARLEQUIN_3p12.3,0,0,0,0,0,0,0,1,0
HARLEQUIN_3p24.3,0,0,0,0,0,0,0,0,0
HARLEQUIN_3p26.1,0,0,0,0,0,0,0,0,0
HARLEQUIN_3q22.1a,0,0,0,0,0,0,0,0,0
HARLEQUIN_3q22.1b,0,0,0,1,0,0,0,0,0
HARLEQUIN_3q22.1c,0,0,0,0,0,0,0,0,0
HARLEQUIN_3q22.2,0,0,0,0,0,0,0,0,0
HARLEQUIN_3q26.1,0,0,0,0,0,0,0,0,0
HARLEQUIN_4p12,0,0,0,0,0,0,0,0,0
HARLEQUIN_4p14a,0,0,0,0,0,0,0,0,0
HARLEQUIN_4p14b,0,0,0,0,0,0,0,0,0
HARLEQUIN_4p15.2,0,0,0,0,0,0,0,0,0
HARLEQUIN_4q13.2a,0,0,0,0,0,0,0,0,0
HARLEQUIN_4q13.2b,0,0,0,1,1,0,2,0,1
HARLEQUIN_4q13.3,0,0,0,0,0,0,0,0,0
HARLEQUIN_4q22.1a,0,0,0,0,0,0,0,0,0
HARLEQUIN_4q22.1b,0,0,0,0,0,0,0,0,0
HARLEQUIN_4q24,0,0,0,0,0,0,0,0,0
HARLEQUIN_4q26,0,0,0,0,0,0,0,0,0
HARLEQUIN_4q28.2,0,1,0,0,0,0,0,1,0
HARLEQUIN_4q32.1,0,2,1,0,1,0,1,0,0
HARLEQUIN_4q34.1,0,0,0,0,0,0,1,0,0
HARLEQUIN_5p12a,0,0,0,0,0,0,0,0,0
HARLEQUIN_5p12b,0,0,0,0,0,0,0,0,0
HARLEQUIN_5p13.2,0,0,0,0,0,0,0,0,0
HARLEQUIN_5p14.2,0,0,0,0,0,0,0,0,0
HARLEQUIN_5q12.3,0,1,1,0,0,0,2,1,3
HARLEQUIN_5q14.2,16,114,99,14,25,21,53,39,35
HARLEQUIN_5q23.1,0,0,0,0,0,0,0,0,0
HARLEQUIN_5q31.2,0,1,0,0,0,0,0,0,0
HARLEQUIN_5q33.3,0,1,0,0,0,1,5,4,1
HARLEQUIN_5q34a,0,0,0,0,0,0,0,1,0
HARLEQUIN_5q34b,1,0,0,0,1,0,0,0,0
HARLEQUIN_6p12.3,0,0,0,0,0,0,1,1,2
HARLEQUIN_6p21.31,0,2,2,0,1,0,2,0,1
HARLEQUIN_6p21.32,0,0,0,0,0,0,0,0,0
HARLEQUIN_6p21.33,43,269,172,481,632,683,700,941,655
HARLEQUIN_6p22.2,0,0,0,0,0,0,0,0,0
HARLEQUIN_6p25.2,0,0,0,0,0,0,0,1,0
HARLEQUIN_6q13,0,0,0,0,0,0,0,0,0
HARLEQUIN_6q21,1,1,3,0,0,0,1,3,1
HARLEQUIN_6q23.1,0,0,0,0,0,0,0,0,0
HARLEQUIN_7p12.1,0,0,0,0,0,0,0,0,0
HARLEQUIN_7p14.3,0,0,0,0,0,1,0,0,0
HARLEQUIN_7p15.3,0,2,1,1,3,2,2,2,3
HARLEQUIN_7p21.3,0,0,0,0,0,0,0,0,1
HARLEQUIN_7p22.1,0,8,0,0,2,2,3,0,3
HARLEQUIN_7q22.1,3,13,8,2,3,1,2,8,0
HARLEQUIN_7q32.1a,0,1,3,2,1,0,11,4,6
HARLEQUIN_7q32.1b,1,3,6,1,1,2,1,3,0
HARLEQUIN_7q33a,22,134,97,124,150,170,205,213,178
HARLEQUIN_7q33b,0,0,0,0,0,0,0,0,0
HARLEQUIN_8p21.2,0,0,0,3,4,0,1,2,0
HARLEQUIN_8q11.23b,0,0,0,0,0,0,0,0,0
HARLEQUIN_8q12.1a,0,0,0,1,0,2,1,1,4
HARLEQUIN_8q12.1b,0,0,0,0,1,0,0,1,0
HARLEQUIN_8q24.3,1,2,0,0,0,1,0,0,0
HARLEQUIN_9p21.1,0,0,0,0,0,0,0,0,0
HARLEQUIN_9q21.33,0,0,0,0,0,0,0,0,0
HARLEQUIN_Xp11.22,0,0,0,0,0,1,0,0,0
HARLEQUIN_Xp11.23,0,0,2,0,0,0,0,0,0
