N3,N2,B1,B2,P3,P2,P1,N1,C1,C2,C3
L1FLnI_3q26.1g,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.1ga,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.1h,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.1i,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.1ia,0,1,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.1j,1,1,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.1ja,0,0,0,2,0,0,0,0,13,19,5
L1FLnI_3q26.1k,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.1ka,9,0,0,0,8,13,1,13,2,2,2
L1FLnI_3q26.1l,0,1,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.1la,19,3,6,6,3,24,0,19,1,4,2
L1FLnI_3q26.1m,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.1ma,41,16,3,0,151,116,74,73,2,8,5
L1FLnI_3q26.1p,0,0,0,0,0,1,0,0,0,0,0
L1FLnI_3q26.1r,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.1s,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.1t,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.1u,2,0,0,0,1,0,0,0,0,0,0
L1FLnI_3q26.1v,0,0,0,0,0,0,1,0,0,0,0
L1FLnI_3q26.1w,0,1,0,0,0,0,1,0,0,0,0
L1FLnI_3q26.1x,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.2a,111,37,5,4,403,257,297,203,1851,2171,1920
L1FLnI_3q26.2b,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.2c,1,2,0,0,0,0,0,0,0,1,0
L1FLnI_3q26.2d,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.2e,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.2f,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.2g,0,0,0,1,3,0,1,0,279,224,297
L1FLnI_3q26.2h,0,0,0,0,0,1,0,0,0,0,0
L1FLnI_3q26.2i,11,9,0,0,3,5,1,13,7,4,3
L1FLnI_3q26.2j,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.2l,0,0,0,0,1,0,0,0,0,0,0
L1FLnI_3q26.2m,0,0,0,0,1,0,0,0,0,0,0
L1FLnI_3q26.31a,9,4,0,0,38,15,32,19,5,3,0
L1FLnI_3q26.31b,40,33,40,70,26,25,23,30,9,5,3
L1FLnI_3q26.31c,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.31d,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.31f,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.31h,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.31i,11,4,2,9,1,7,1,5,4,2,6
L1FLnI_3q26.31j,1,0,0,1,2,2,1,0,0,1,0
L1FLnI_3q26.31k,3,0,0,0,0,0,0,0,0,1,0
L1FLnI_3q26.31l,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.32a,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.32b,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.32d,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.32e,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.32h,0,0,0,0,1,0,0,2,0,0,0
L1FLnI_3q26.32i,1,0,0,0,0,1,0,1,0,0,0
L1FLnI_3q26.32j,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.32k,2,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.32l,0,0,0,3,0,0,0,0,0,0,1
L1FLnI_3q26.32m,1,0,0,0,0,0,0,1,0,0,0
L1FLnI_3q26.32n,1,0,0,0,0,0,0,2,1,0,0
L1FLnI_3q26.32o,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.32p,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.32r,0,0,0,0,0,2,0,0,0,0,0
L1FLnI_3q26.32s,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.32t,4,12,0,0,9,14,8,19,10,17,8
L1FLnI_3q26.32u,9,15,2,0,19,10,7,8,7,4,5
L1FLnI_3q26.32v,7,7,5,0,23,17,14,16,2,0,1
L1FLnI_3q26.32w,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.33a,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.33b,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.33c,0,0,0,0,1,0,0,0,0,0,0
L1FLnI_3q26.33e,3,3,0,0,0,1,0,0,0,0,0
L1FLnI_3q26.33f,2,4,0,0,9,4,2,7,8,3,1
L1FLnI_3q26.33g,1,2,0,0,2,3,3,5,0,0,0
L1FLnI_3q26.33h,0,2,0,0,1,2,0,1,0,0,0
L1FLnI_3q26.33i,1,2,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.33j,1,1,0,0,0,1,0,0,0,0,0
L1FLnI_3q26.33k,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.33m,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q26.33n,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q27.3a,1,4,0,0,2,0,1,3,0,0,0
L1FLnI_3q27.3b,681,429,1,0,542,772,276,730,3,1,0
L1FLnI_3q27.3c,0,1,0,0,0,0,0,1,0,0,0
L1FLnI_3q27.3d,0,0,0,0,0,1,0,0,0,0,0
L1FLnI_3q27.3e,0,0,0,0,0,0,1,1,1,0,1
L1FLnI_3q27.3f,5,0,0,0,2,2,10,6,1,1,0
L1FLnI_3q28a,36,14,3,14,12,10,2,8,1,0,0
L1FLnI_3q28c,67,25,0,1,29,22,26,48,3,0,0
L1FLnI_3q28d,3,0,1,5,13,13,10,1,25,48,47
L1FLnI_3q28e,8,0,0,2,4,4,4,3,1,0,2
L1FLnI_3q28h,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q28m,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q28o,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q28p,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q28q,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q29a,0,0,0,0,0,0,0,1,0,0,0
L1FLnI_3q29b,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q29c,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q29d,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q29e,3,2,0,0,6,11,3,28,5,0,1
L1FLnI_3q29f,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q29h,7,1,0,0,12,25,6,18,0,2,0
L1FLnI_3q29i,18,15,0,0,5,7,3,5,1,0,1
L1FLnI_3q29j,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_3q29k,2,7,0,0,0,1,0,1,0,0,0
L1FLnI_4p11a,4,6,2,0,3,4,3,0,6,2,4
L1FLnI_4p11b,19,18,1,0,49,46,26,66,20,27,31
L1FLnI_4p11c,0,0,0,4,1,0,1,0,5,5,3
L1FLnI_4p11d,3,3,0,0,5,2,0,1,0,0,0
L1FLnI_4p11e,1,0,0,0,1,1,0,0,0,0,0
L1FLnI_4p11f,1,1,0,0,0,2,0,1,2,0,1
L1FLnI_4p11h,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p11i,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p12a,3,0,0,0,0,1,0,0,0,0,0
L1FLnI_4p12b,0,0,0,0,0,0,1,0,0,0,0
L1FLnI_4p12d,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p12f,0,1,0,0,0,0,0,0,0,0,0
L1FLnI_4p12g,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p12h,2,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p12i,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p12j,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p12k,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p12m,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p12o,0,2,0,0,0,0,0,0,0,0,0
L1FLnI_4p12p,0,0,0,0,0,0,0,1,0,0,0
L1FLnI_4p12q,8,22,0,0,15,21,10,30,1,1,0
L1FLnI_4p12r,2,4,0,0,1,2,3,7,1,0,0
L1FLnI_4p12s,9,21,0,0,17,15,6,14,0,0,1
L1FLnI_4p13a,0,0,0,0,0,0,0,1,0,0,0
L1FLnI_4p13b,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p13d,58,4,1,4,180,95,107,54,154,184,165
L1FLnI_4p13e,36,45,6,0,21,29,26,43,31,33,37
L1FLnI_4p13f,0,15,0,0,5,43,2,2,0,0,0
L1FLnI_4p13h,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p13i,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p13j,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p13l,0,0,0,0,0,0,0,1,0,0,0
L1FLnI_4p13m,160,198,52,51,734,511,380,377,1038,1017,1092
L1FLnI_4p13p,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p13q,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p13r,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p14a,2,0,0,0,1,0,1,5,0,0,0
L1FLnI_4p14b,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p14c,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p14d,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p14e,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p14f,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p14g,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p14i,0,0,0,0,1,0,0,0,0,0,0
L1FLnI_4p14k,0,0,0,0,0,0,1,0,0,0,0
L1FLnI_4p14l,0,1,0,0,1,0,0,0,0,0,0
L1FLnI_4p14m,0,1,0,0,0,1,2,2,0,0,0
L1FLnI_4p14n,0,0,0,0,0,1,0,0,0,0,0
L1FLnI_4p14o,119,25,2,0,591,316,433,523,3,4,3
L1FLnI_4p14p,21,3,0,3,29,24,9,29,50,49,39
L1FLnI_4p15.1c,0,0,0,0,0,0,0,1,0,0,0
L1FLnI_4p15.1d,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.1e,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.1g,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.1m,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.1n,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.1v,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.1w,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.2ba,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.2c,0,0,0,0,0,0,0,0,0,0,1
L1FLnI_4p15.2ca,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.2d,2,0,0,0,2,0,0,1,0,0,0
L1FLnI_4p15.2e,0,2,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.2f,0,1,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.2g,2,0,0,0,0,2,0,0,0,0,0
L1FLnI_4p15.2i,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.2n,1,1,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.2p,0,1,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.2q,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.2r,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.2s,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.2t,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.2u,0,0,0,0,0,1,0,1,0,1,1
L1FLnI_4p15.2v,62,54,0,0,91,103,19,84,14,14,5
L1FLnI_4p15.2w,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.2x,20,9,0,0,2,1,1,8,7,10,12
L1FLnI_4p15.2y,104,59,0,4,22,24,11,75,3,0,2
L1FLnI_4p15.2z,36,31,3,0,50,24,19,45,2,0,0
L1FLnI_4p15.31a,9,2,0,0,4,2,1,2,0,0,0
L1FLnI_4p15.31b,153,95,11,3,45,42,44,43,0,3,0
L1FLnI_4p15.31c,0,2,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.31e,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.31f,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.31h,0,0,0,0,0,1,1,0,0,0,0
L1FLnI_4p15.31j,0,0,0,0,1,0,0,0,0,0,0
L1FLnI_4p15.31k,1,1,0,0,0,1,0,2,0,0,0
L1FLnI_4p15.31l,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.31n,0,0,0,0,0,0,0,0,0,1,0
L1FLnI_4p15.31p,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.31q,67,39,0,0,100,111,51,94,22,39,42
L1FLnI_4p15.31r,81,77,7,2,145,150,51,169,56,45,47
L1FLnI_4p15.31s,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.31t,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.32a,5,4,0,0,3,9,7,17,1,3,0
L1FLnI_4p15.32b,1,0,0,0,1,2,2,2,2,0,0
L1FLnI_4p15.32d,2,1,0,0,6,5,1,14,0,0,0
L1FLnI_4p15.32e,55,71,29,19,249,150,46,49,14,26,44
L1FLnI_4p15.32f,66,51,0,1,608,383,98,184,44,30,34
L1FLnI_4p15.32h,2,3,0,0,4,4,1,5,0,0,1
L1FLnI_4p15.32i,0,0,0,0,0,0,2,0,0,0,0
L1FLnI_4p15.32j,0,1,0,0,6,0,3,1,3,0,0
L1FLnI_4p15.32k,2,0,0,0,0,1,2,2,0,0,0
L1FLnI_4p15.32l,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.33a,4,5,0,0,2,4,0,3,0,3,0
L1FLnI_4p15.33b,1,1,0,0,1,0,0,0,0,0,0
L1FLnI_4p15.33c,0,1,0,1,0,0,0,0,0,0,0
L1FLnI_4p15.33d,0,1,0,0,3,0,0,4,0,0,0
L1FLnI_4p15.33e,1,0,0,0,0,1,0,0,0,0,0
L1FLnI_4p15.33g,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.33h,1,0,0,0,1,1,0,0,2,1,2
L1FLnI_4p15.33i,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.33j,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.33k,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.33l,0,0,0,0,0,0,0,0,1,0,0
L1FLnI_4p15.33n,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p15.33o,2,3,0,0,4,3,1,1,0,0,0
L1FLnI_4p15.33p,38,10,0,2,24,27,19,25,0,1,0
L1FLnI_4p15.33q,0,0,0,0,1,0,0,1,0,0,0
L1FLnI_4p15.33r,5,0,0,0,10,4,0,6,0,3,0
L1FLnI_4p15.33s,1,0,0,0,1,0,0,0,0,1,0
L1FLnI_4p15.33t,0,0,0,0,0,0,0,3,3,1,2
L1FLnI_4p15.33u,1,0,0,1,0,1,1,5,0,1,0
L1FLnI_4p15.33v,5,1,0,0,2,0,0,1,0,0,0
L1FLnI_4p15.33w,4,2,0,0,4,4,2,11,1,0,0
L1FLnI_4p15.33x,0,0,0,0,0,0,0,2,0,0,0
L1FLnI_4p15.33y,2,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p16.1b,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p16.1c,3,1,0,0,0,0,1,2,0,0,0
L1FLnI_4p16.1d,9,19,0,1,12,21,4,8,2,3,3
L1FLnI_4p16.1e,0,1,0,0,0,0,0,0,0,0,0
L1FLnI_4p16.1f,0,0,0,0,0,5,1,0,0,0,0
L1FLnI_4p16.1i,0,3,0,0,0,1,1,0,0,0,0
L1FLnI_4p16.1j,0,1,0,0,1,1,0,2,0,0,0
L1FLnI_4p16.1k,0,1,0,0,6,8,0,1,0,0,0
L1FLnI_4p16.1l,0,1,0,0,5,6,1,1,0,0,0
L1FLnI_4p16.2a,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4p16.2b,1,0,0,0,0,0,0,1,1,0,0
L1FLnI_4p16.2d,1,1,0,0,0,2,0,2,0,0,0
L1FLnI_4p16.2e,0,2,0,0,1,1,0,0,0,0,0
L1FLnI_4p16.2f,2,0,0,0,0,0,0,1,0,0,0
L1FLnI_4p16.2g,3,0,0,0,1,0,0,0,0,0,0
L1FLnI_4p16.2h,0,0,0,0,0,3,3,2,0,0,0
L1FLnI_4p16.2i,8,3,0,0,12,16,3,14,2,0,1
L1FLnI_4p16.2j,14,7,0,0,44,57,47,34,4,13,3
L1FLnI_4p16.2k,0,0,0,0,3,13,1,5,0,0,0
L1FLnI_4p16.2l,11,4,0,0,2,11,3,9,0,0,0
L1FLnI_4p16.2m,3,5,0,0,0,2,1,1,0,0,0
L1FLnI_4p16.3a,53,72,1,0,26,41,13,50,21,24,16
L1FLnI_4p16.3b,46,23,0,0,12,15,14,19,1,0,3
L1FLnI_4p16.3c,1,0,0,0,1,0,0,6,0,0,0
L1FLnI_4q12aa,27,14,7,0,36,45,25,24,0,0,0
L1FLnI_4q12ab,0,0,0,0,0,1,0,0,0,0,0
L1FLnI_4q12b,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12ba,28,44,0,0,28,36,22,37,0,0,0
L1FLnI_4q12bb,0,0,0,0,0,2,0,0,0,0,0
L1FLnI_4q12c,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12ca,85,76,14,2,59,51,32,58,3,1,0
L1FLnI_4q12cb,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12d,0,3,0,0,2,3,1,5,0,0,0
L1FLnI_4q12db,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12e,3,0,10,25,9,2,0,4,111,167,113
L1FLnI_4q12ea,40,27,31,4,44,46,26,38,0,2,0
L1FLnI_4q12eb,45,66,2,0,153,81,49,99,189,163,182
L1FLnI_4q12f,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12fa,11,4,0,1,10,7,8,3,1,0,0
L1FLnI_4q12fb,16,9,0,0,42,23,15,21,7,0,0
L1FLnI_4q12g,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12ga,6,9,0,0,4,3,4,2,1,0,2
L1FLnI_4q12gb,0,0,0,0,0,1,0,0,0,0,0
L1FLnI_4q12h,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12ha,287,113,0,4,378,427,202,535,8,11,4
L1FLnI_4q12hb,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12i,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12ia,54,114,0,0,67,76,32,99,35,19,26
L1FLnI_4q12ib,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12j,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12jb,0,1,0,0,0,0,0,0,0,0,0
L1FLnI_4q12k,0,0,0,0,0,0,0,1,0,0,0
L1FLnI_4q12ka,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12kb,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12l,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12la,0,0,0,0,0,0,0,0,1,4,0
L1FLnI_4q12lb,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12m,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12ma,0,2,0,0,1,0,0,1,0,0,0
L1FLnI_4q12mb,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12n,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12na,4,3,0,0,2,1,2,11,0,0,1
L1FLnI_4q12nb,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12o,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12oa,0,0,0,0,0,0,1,1,0,0,0
L1FLnI_4q12ob,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12p,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12pa,0,0,0,0,0,0,1,0,0,0,0
L1FLnI_4q12pb,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12q,2,1,0,0,0,0,0,0,0,0,0
L1FLnI_4q12qa,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12qb,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12r,2,2,0,0,1,1,1,1,3,3,0
L1FLnI_4q12ra,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12rb,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12s,1,0,0,0,0,1,0,0,0,0,0
L1FLnI_4q12t,52,19,0,0,65,62,36,67,10,8,3
L1FLnI_4q12ta,0,1,0,0,0,0,0,0,0,0,0
L1FLnI_4q12u,28,6,0,0,35,46,15,46,3,5,0
L1FLnI_4q12ua,0,0,0,0,1,0,0,0,0,0,0
L1FLnI_4q12v,74,46,0,0,97,100,45,69,5,14,3
L1FLnI_4q12w,55,30,2,1,30,21,24,21,0,0,0
L1FLnI_4q12wa,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12xa,0,0,0,0,0,0,1,0,2,0,0
L1FLnI_4q12y,10,16,0,0,11,3,7,4,0,0,0
L1FLnI_4q12ya,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q12z,60,38,4,0,96,92,50,86,0,0,1
L1FLnI_4q12za,0,0,0,0,0,3,0,0,0,1,2
L1FLnI_4q13.1a,0,1,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1aa,2,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1ab,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1b,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1ba,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1c,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1ca,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1cb,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1d,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1da,0,0,0,0,0,1,0,0,0,0,0
L1FLnI_4q13.1e,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1ea,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1fb,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1g,0,0,0,0,1,0,0,0,0,0,1
L1FLnI_4q13.1ga,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1gb,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1ha,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1hb,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1i,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1ia,0,0,0,0,0,0,0,0,0,3,0
L1FLnI_4q13.1j,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1ja,1,1,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1ka,0,0,0,0,1,0,0,0,0,0,0
L1FLnI_4q13.1m,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1ma,0,0,0,0,0,0,0,2,0,0,0
L1FLnI_4q13.1na,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1o,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1oa,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1p,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1pa,0,0,0,0,0,0,0,1,0,0,0
L1FLnI_4q13.1qa,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1r,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1s,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1sa,0,0,0,0,0,0,2,0,0,0,0
L1FLnI_4q13.1u,0,0,0,0,0,1,0,0,0,0,0
L1FLnI_4q13.1ua,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1v,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1va,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1w,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1wa,0,0,0,0,0,0,0,1,0,0,0
L1FLnI_4q13.1xa,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1y,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1z,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.1za,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.2a,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.2aa,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.2b,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.2ba,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.2c,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.2d,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.2f,0,0,0,0,0,0,0,0,1,0,0
L1FLnI_4q13.2g,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.2i,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.2j,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.2k,0,0,0,0,0,0,1,0,0,0,0
L1FLnI_4q13.2l,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.2m,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.2n,110,152,2,13,333,296,135,175,342,200,273
L1FLnI_4q13.2o,616,231,3,2,1075,1087,791,1150,208,201,194
L1FLnI_4q13.2p,2,50,0,0,6,9,4,9,0,3,1
L1FLnI_4q13.2q,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.2r,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.2s,0,0,0,0,0,0,2,0,0,0,0
L1FLnI_4q13.2t,0,2,0,0,0,1,0,0,0,0,0
L1FLnI_4q13.2u,0,0,0,0,2,0,0,0,0,0,0
L1FLnI_4q13.2v,4,0,0,0,39,0,0,3,0,0,0
L1FLnI_4q13.2w,4,0,0,0,11,0,0,1,0,0,0
L1FLnI_4q13.2y,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.2z,0,0,0,0,0,0,0,1,0,0,0
L1FLnI_4q13.3ab,0,1,0,0,0,0,0,3,0,0,0
L1FLnI_4q13.3ba,2,0,0,0,1,0,0,0,0,0,0
L1FLnI_4q13.3bb,0,5,3,0,9,0,0,0,3,0,0
L1FLnI_4q13.3c,0,0,0,0,0,0,0,1,0,0,0
L1FLnI_4q13.3ca,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.3cb,1,4,0,0,1,0,0,0,3,2,0
L1FLnI_4q13.3d,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.3da,1,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.3db,0,0,0,0,1,0,0,0,0,0,0
L1FLnI_4q13.3e,0,0,0,0,0,0,0,0,0,0,0
L1FLnI_4q13.3ea,0,0,0,0,0,0,0,0,0,0,0
