N3,N2,B1,B2,P3,P2,P1,N1,C1,C2,C3
ERV316A3_1p34.1b,2,2,0,0,2,3,0,1,0,0,0
ERV316A3_1p34.2a,23,17,0,0,13,21,11,32,0,0,0
ERV316A3_1p36.22b,2,0,0,0,2,3,0,1,0,1,0
ERV316A3_1q21.2,83,56,0,2,232,297,127,256,9,8,10
ERV316A3_1q21.3b,6,3,0,0,6,2,2,4,1,2,0
ERV316A3_1q24.2a,4,0,0,0,0,19,0,5,0,0,0
ERV316A3_1q24.2b,3,1,0,0,2,0,0,7,0,0,6
ERV316A3_1q24.3a,1,0,0,0,0,0,2,2,0,0,0
ERV316A3_1q25.3b,8,4,0,0,14,7,6,14,2,8,7
ERV316A3_1q31.3e,2,5,0,0,1,1,1,2,0,0,0
ERV316A3_1q32.2a,1,0,0,0,3,1,156,6,0,0,0
ERV316A3_1q42.13e,1,0,0,0,0,0,0,0,0,1,0
ERV316A3_1q44c,1,3,0,0,0,0,3,1,0,1,0
ERV316A3_20p11.21,7,10,0,0,12,12,3,11,3,4,4
ERV316A3_20q12a,1,0,0,0,0,0,0,1,0,0,0
ERV316A3_20q12b,2,0,0,0,2,0,0,1,0,0,0
ERV316A3_20q13.33b,17,45,0,0,55,60,27,70,21,41,12
ERV316A3_21q21.2g,12,15,0,0,16,24,3,21,17,28,27
ERV316A3_21q21.3e,1,0,0,0,0,0,2,1,0,0,0
ERV316A3_21q22.11b,159,203,1,0,365,458,253,454,107,137,137
ERV316A3_21q22.3b,1,3,0,0,0,1,0,1,1,1,3
ERV316A3_21q22.3c,3,2,0,0,6,4,1,9,0,0,0
ERV316A3_21q22.3d,5,5,0,0,5,9,4,2,1,3,0
ERV316A3_21q22.3e,45,49,0,0,83,84,38,70,84,98,106
ERV316A3_22q13.1,155,68,1,2,353,386,327,521,11,63,42
ERV316A3_22q13.31b,1,0,0,0,2,1,1,2,0,0,0
ERV316A3_22q13.33a,12,7,0,0,26,42,36,51,1,3,1
ERV316A3_22q13.33b,30,24,0,0,7,32,2,57,4,0,1
ERV316A3_2p15b,4,5,0,0,3,2,2,5,1,0,1
ERV316A3_2p16.1a,8,32,0,1,35,30,13,27,12,12,10
ERV316A3_2p16.1e,4,5,0,0,7,4,3,12,0,0,3
ERV316A3_2p23.3a,2,0,0,0,0,0,0,0,0,0,0
ERV316A3_2p23.3b,1,2,0,0,0,3,1,2,0,0,0
ERV316A3_2p24.3c,1,2,0,0,4,0,0,3,3,0,0
ERV316A3_2p25.1a,154,98,0,0,89,122,33,469,3,7,7
ERV316A3_2p25.3b,12,6,0,0,17,19,9,21,1,5,0
ERV316A3_2q12.1b,2,0,0,0,1,2,2,3,0,0,0
ERV316A3_2q14.1b,6,7,0,0,37,28,20,45,3,3,1
ERV316A3_2q14.1c,7,13,0,0,17,21,12,16,0,0,1
ERV316A3_2q14.1d,2,4,0,0,0,2,0,3,0,0,1
ERV316A3_2q14.1e,0,0,0,0,1,0,1,0,0,0,0
ERV316A3_2q21.3,1,1,0,0,3,9,1,8,1,2,1
ERV316A3_2q22.1a,2,2,0,0,7,5,6,7,0,0,0
ERV316A3_2q22.1b,1,0,0,0,0,4,0,0,0,0,0
ERV316A3_2q22.2b,114,98,9,0,42,55,37,121,1,1,0
ERV316A3_2q22.3a,86,63,0,0,186,282,127,368,1,2,2
ERV316A3_2q31.2,8,9,0,0,10,6,6,15,1,8,0
ERV316A3_2q31.3d,2,0,0,0,0,0,0,0,0,0,0
ERV316A3_2q32.1f,3,3,0,0,3,8,3,3,0,0,0
ERV316A3_2q32.1i,1,0,0,0,0,0,0,0,0,0,0
ERV316A3_2q32.2c,5,6,0,0,6,6,5,4,0,0,2
ERV316A3_2q32.3a,2,0,0,0,1,0,4,5,0,0,1
ERV316A3_2q33.1g,9,5,0,4,17,21,11,11,16,16,15
ERV316A3_2q34e,1,1,0,0,0,0,0,2,0,0,0
ERV316A3_2q34f,2,1,0,0,3,7,3,9,6,2,0
ERV316A3_2q35b,3,1,0,0,0,0,0,2,0,1,0
ERV316A3_2q35f,56,115,0,0,255,209,196,166,39,40,41
ERV316A3_2q35h,5,3,0,0,3,5,3,1,0,2,1
ERV316A3_2q36.2,164,136,0,0,127,170,83,241,9,20,15
ERV316A3_2q37.1a,88,117,0,0,207,321,88,318,219,269,193
ERV316A3_2q37.3b,2,0,0,0,61,19,7,7,0,2,0
ERV316A3_2q37.3c,4,17,0,0,25,30,15,39,4,14,7
ERV316A3_3p21.1b,1,0,0,0,0,1,0,0,0,0,0
ERV316A3_3p21.31c,22,4,0,0,6,4,3,21,1,1,1
ERV316A3_3p24.2,2,0,0,0,0,2,0,0,0,0,0
ERV316A3_3p25.2a,10,16,0,0,59,41,38,29,18,13,8
ERV316A3_3q13.11c,1,0,0,0,0,0,0,0,0,0,0
ERV316A3_3q13.12c,3,4,0,0,8,3,2,3,14,26,7
ERV316A3_3q13.12d,1,0,0,0,0,1,0,0,0,0,0
ERV316A3_3q13.13a,1,5,0,0,10,8,4,15,0,0,0
ERV316A3_3q13.13b,2,0,0,0,0,0,0,1,1,0,0
ERV316A3_3q13.13c,3,2,0,0,0,3,3,4,0,0,0
ERV316A3_3q13.13d,2,0,0,0,0,0,0,0,0,0,0
ERV316A3_3q13.31a,1,0,0,0,0,2,1,3,0,0,0
ERV316A3_3q13.31b,6,6,0,0,3,3,0,1,4,0,0
ERV316A3_3q13.33a,1,1,0,0,1,0,1,0,0,0,0
ERV316A3_3q24a,4,1,0,0,0,1,0,5,0,0,0
ERV316A3_3q25.2a,4,5,0,0,3,4,1,8,1,1,2
ERV316A3_3q26.31,1,1,0,0,0,3,1,0,0,0,0
ERV316A3_3q27.3d,11,3,0,0,5,8,1,7,0,0,0
ERV316A3_3q27.3e,8,12,0,0,42,52,53,44,33,24,14
ERV316A3_3q29,3,12,0,0,7,12,0,10,3,2,7
ERV316A3_4p12g,0,0,0,0,0,0,0,1,0,0,0
ERV316A3_4p15.32b,204,190,5,8,564,428,333,552,237,210,240
ERV316A3_4p16.1b,14,11,0,0,8,14,15,19,0,1,0
ERV316A3_4p16.3a,1,3,0,0,2,2,2,0,0,0,0
ERV316A3_4p16.3b,3,3,0,0,17,9,3,8,0,4,2
ERV316A3_4q13.3d,3,1,0,0,3,4,0,5,0,0,0
ERV316A3_4q21.1a,13,6,0,0,31,43,20,45,10,5,8
ERV316A3_4q21.1e,2,0,0,0,0,0,0,0,0,0,0
ERV316A3_4q21.1h,1,0,0,0,1,1,1,0,0,0,0
ERV316A3_4q21.1m,4,0,0,0,8,11,4,5,1,1,0
ERV316A3_4q25a,1,10,0,0,2,7,1,2,0,0,0
ERV316A3_4q26k,51,15,3,0,113,104,90,232,8,13,7
ERV316A3_4q31.1b,2,4,0,0,12,8,3,8,10,12,9
ERV316A3_4q31.21b,3,0,0,0,14,7,1,5,0,0,0
ERV316A3_4q31.21d,1,1,0,0,0,0,0,1,0,0,0
ERV316A3_4q31.23c,2,3,0,5,4,10,2,3,2,0,0
ERV316A3_4q35.2b,6,1,0,0,0,4,0,11,0,0,0
ERV316A3_5p13.3e,26,12,2,0,29,42,25,42,4,5,2
ERV316A3_5p15.31,28,11,1,0,28,37,19,41,1,1,3
ERV316A3_5q12.1a,1,2,0,0,3,4,4,9,0,2,2
ERV316A3_5q12.1b,2,2,0,0,4,8,5,7,1,4,11
ERV316A3_5q13.3c,2,0,0,0,4,0,0,0,11,17,1
ERV316A3_5q14.1,10,13,0,0,12,4,3,5,0,3,2
ERV316A3_5q15a,1,0,0,1,1,1,0,1,0,0,0
ERV316A3_5q15b,1,0,0,0,4,1,1,0,1,0,7
ERV316A3_5q15c,1,1,0,0,1,2,7,3,0,0,0
ERV316A3_5q21.1a,3,3,0,0,2,6,1,6,2,1,1
ERV316A3_5q23.1a,1,0,0,0,0,3,2,0,1,0,0
ERV316A3_5q31.1a,10,3,0,0,3,0,1,8,3,0,1
ERV316A3_5q31.1b,1,0,0,0,1,1,0,0,0,0,0
ERV316A3_5q31.3a,1,0,0,0,1,0,1,2,0,0,0
ERV316A3_5q31.3b,1,1,0,0,1,2,0,4,0,0,0
ERV316A3_5q32,1,0,0,0,0,0,0,0,0,0,0
ERV316A3_5q35.2b,14,12,0,0,32,22,0,7,2,1,0
ERV316A3_5q35.3a,75,86,0,0,5,62,68,192,2,4,8
ERV316A3_5q35.3d,5,5,0,0,13,12,5,15,1,6,0
ERV316A3_6p21.2a,2,3,0,0,1,3,3,0,1,1,0
ERV316A3_6p21.2b,1,2,0,0,2,3,1,0,1,1,1
ERV316A3_6p21.31,2,0,0,0,1,1,0,0,0,0,0
ERV316A3_6p21.33b,12,12,0,0,29,32,11,45,3,4,7
ERV316A3_6p21.33c,1557,1259,81,22,4002,4035,1993,5830,2561,2098,2886
ERV316A3_6p22.1b,1,0,0,0,1,0,0,0,2,0,0
ERV316A3_6p22.1f,1,1,0,0,1,3,0,2,0,0,0
ERV316A3_6p22.1g,1,0,0,0,2,2,0,0,2,0,0
ERV316A3_6p22.1i,1,0,0,0,0,1,47,225,4,3,37
ERV316A3_6p22.1j,0,0,0,0,0,0,0,0,0,0,2
ERV316A3_6p22.1l,678,8,0,6,8,2,365,1981,2,1,82
ERV316A3_6p22.1m,1,4,0,0,38,17,13,4,10,4,3
ERV316A3_6p22.1n,1352,294,2,0,669,1452,1701,6688,502,396,714
ERV316A3_6p22.1o,57,50,0,0,57,49,46,104,76,61,58
ERV316A3_6p22.1p,2,2,4,0,1,6,2,4,0,0,0
ERV316A3_6p23,3,0,0,0,1,0,0,2,0,0,0
ERV316A3_6p25.1b,37,19,0,0,125,126,77,107,16,24,19
ERV316A3_6p25.1c,2,3,0,0,7,3,3,4,0,0,0
ERV316A3_6p25.1d,5,0,0,0,17,24,15,14,13,16,19
ERV316A3_6p25.3a,3,3,0,0,0,1,0,4,0,2,0
ERV316A3_6q13b,11,8,0,0,9,13,3,9,2,0,0
ERV316A3_6q15a,3,1,0,0,0,0,2,1,2,0,0
ERV316A3_6q15b,1,0,0,0,1,0,0,2,0,0,0
ERV316A3_6q16.1c,1,0,0,0,0,0,1,5,0,0,0
ERV316A3_6q22.31a,23,15,0,0,22,24,30,45,1,7,2
ERV316A3_6q22.33,43,91,0,0,42,122,20,131,3,8,7
ERV316A3_6q23.2b,2,0,0,0,2,5,1,2,0,0,0
ERV316A3_6q24.1a,655,619,8,1,2594,1241,1552,2795,226,359,288
ERV316A3_6q24.1h,1,2,0,0,0,0,0,0,0,0,0
ERV316A3_6q25.1b,6,4,0,0,2,9,1,9,0,1,2
ERV316A3_6q25.1c,4,15,0,0,5,6,3,15,0,0,0
ERV316A3_6q25.1d,0,0,0,0,0,0,0,0,0,0,1
ERV316A3_6q25.1e,1,0,0,0,0,1,0,0,0,0,0
ERV316A3_6q25.2e,3,1,0,0,8,2,4,8,0,0,0
ERV316A3_7p13a,171,152,1,1,206,206,117,308,4,1,5
ERV316A3_7p15.3b,5,0,0,0,4,5,1,0,0,0,0
ERV316A3_7q21.12b,2,1,0,0,2,0,0,0,0,0,0
ERV316A3_7q21.3b,31,13,2,0,48,39,26,66,4,4,2
ERV316A3_7q22.3,4,2,0,0,0,2,7,23,0,1,0
ERV316A3_7q33b,2,0,0,0,1,0,0,0,0,0,0
ERV316A3_7q34b,1,0,0,0,3,1,0,2,0,0,0
ERV316A3_7q36.1a,11,6,0,1,14,28,9,15,0,5,1
ERV316A3_7q36.1b,8,2,0,0,4,7,1,15,1,0,0
ERV316A3_7q36.2c,0,0,0,0,2,0,0,0,0,0,0
ERV316A3_8p12g,1,0,0,0,2,2,1,2,0,0,0
ERV316A3_8p21.1,1,0,0,0,1,0,0,0,0,0,0
ERV316A3_8p21.3c,1,2,0,0,0,0,0,6,0,0,0
ERV316A3_8p23.1d,1,1,0,0,2,1,0,0,0,0,0
ERV316A3_8p23.2,1,0,0,0,0,0,1,1,0,2,0
ERV316A3_8q11.23b,1,2,0,0,8,9,0,9,0,0,0
ERV316A3_8q12.2,1,2,0,0,4,6,0,7,0,0,0
ERV316A3_8q13.3a,8,6,0,0,2,1,3,4,0,2,0
ERV316A3_8q13.3b,6,1,0,0,0,6,1,16,1,0,0
ERV316A3_8q21.11e,2,5,1,0,13,11,2,9,12,3,3
ERV316A3_8q21.13d,7,11,0,0,7,8,4,12,0,0,0
ERV316A3_8q21.3f,2,0,0,0,3,1,0,0,0,0,0
ERV316A3_8q22.1d,8,3,0,0,4,3,1,18,0,0,0
ERV316A3_8q24.12f,1,0,0,0,1,0,0,5,2,0,0
ERV316A3_8q24.13b,8,3,3,0,25,13,4,29,14,7,2
ERV316A3_8q24.21a,3,1,0,0,0,2,0,0,0,0,0
ERV316A3_8q24.21b,3,0,0,0,2,5,0,4,0,0,0
ERV316A3_8q24.21c,1,0,0,0,0,0,0,0,1,0,0
ERV316A3_8q24.23g,3,0,0,0,1,0,0,2,0,0,0
ERV316A3_8q24.23h,3,2,0,0,0,0,0,6,0,0,0
ERV316A3_8q24.23i,2,3,0,0,1,0,0,1,0,0,0
ERV316A3_8q24.3j,2,1,0,0,1,1,0,1,0,0,0
ERV316A3_8q24.3k,22,25,0,0,47,37,16,68,26,21,27
ERV316A3_9p13.3a,1,0,0,0,0,0,0,0,0,0,0
ERV316A3_9p13.3b,1,0,0,0,0,1,0,0,0,0,0
ERV316A3_9p24.1,4,0,0,2,3,0,1,4,0,1,3
ERV316A3_9p24.2a,1,0,0,0,1,0,0,0,0,0,0
ERV316A3_9p24.2b,5,1,0,1,0,1,0,3,0,0,0
ERV316A3_9q21.33,56,10,0,0,23,17,14,25,0,0,0
ERV316A3_9q32a,5,0,0,0,8,12,5,7,1,1,4
ERV316A3_9q32b,1,0,0,0,2,3,1,3,0,0,0
ERV316A3_9q33.1,5,1,0,0,7,8,4,17,1,0,0
ERV316A3_9q33.2,9,1,0,0,2,0,0,25,1,0,0
ERV316A3_9q33.3,4,4,2,0,2,2,1,4,1,0,0
ERV316A3_9q34.12,3,0,0,0,0,0,0,0,0,0,0
ERV316A3_9q34.13,37,15,3,0,44,29,27,45,2,0,1
ERV316A3_Xp11.22c,1,4,0,0,4,4,2,2,0,0,0
ERV316A3_Xp11.22d,2,3,0,0,0,0,0,0,0,0,0
